sku,level,board,board_label,tier_scope,status,listing_title,slug_candidate,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_url,source_param,unit_key,unit_code,unit_title,section_key,section_code,section_title,subtopic_id,subtopic_code,subtopic_title,subtopic_count,section_count,unit_count,kahoot_url,worksheet_url,section_bundle_url,unit_bundle_url,deliver_now,deliver_on_release,bonus,presale_notes,terms_pdf_url,tags,notes
L2-CIE0580-C1,L2,cie0580,CIE 0580,Core,presale,CIE 0580 C1 Number (Core) Section Bundle,l2-cie0580-c1,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,kahoot_cie0580_l2,number,U1,Number,number-c1,C1,Number (Core),,,,16,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + section entitlement + release updates.,16 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,core,unit:number,section:c1",
L2-CIE0580-E1,L2,cie0580,CIE 0580,Extended,presale,CIE 0580 E1 Number (Extended) Section Bundle,l2-cie0580-e1,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1,kahoot_cie0580_l2,number,U1,Number,number-e1,E1,Number (Extended),,,,18,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + section entitlement + release updates.,18 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,extended,unit:number,section:e1",
L2-CIE0580-C2,L2,cie0580,CIE 0580,Core,presale,CIE 0580 C2 Algebra and Graphs (Core) Section Bundle,l2-cie0580-c2,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,kahoot_cie0580_l2,algebra,U2,Algebra and Graphs,algebra-c2,C2,Algebra and Graphs (Core),,,,9,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,Presale placeholder + section entitlement + release updates.,9 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,core,unit:algebra,section:c2",
L2-CIE0580-E2,L2,cie0580,CIE 0580,Extended,presale,CIE 0580 E2 Algebra and Graphs (Extended) Section Bundle,l2-cie0580-e2,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,kahoot_cie0580_l2,algebra,U2,Algebra and Graphs,algebra-e2,E2,Algebra and Graphs (Extended),,,,13,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,Presale placeholder + section entitlement + release updates.,13 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,extended,unit:algebra,section:e2",
L2-CIE0580-C3,L2,cie0580,CIE 0580,Core,presale,CIE 0580 C3 Coordinate Geometry (Core) Section Bundle,l2-cie0580-c3,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3,kahoot_cie0580_l2,coordinate,U3,Coordinate Geometry,coordinate-c3,C3,Coordinate Geometry (Core),,,,5,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3,https://payhip.com/25maths?src=cie0580-unit-coordinate,Presale placeholder + section entitlement + release updates.,5 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,core,unit:coordinate,section:c3",
L2-CIE0580-E3,L2,cie0580,CIE 0580,Extended,presale,CIE 0580 E3 Coordinate Geometry (Extended) Section Bundle,l2-cie0580-e3,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e3,kahoot_cie0580_l2,coordinate,U3,Coordinate Geometry,coordinate-e3,E3,Coordinate Geometry (Extended),,,,7,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e3,https://payhip.com/25maths?src=cie0580-unit-coordinate,Presale placeholder + section entitlement + release updates.,7 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,extended,unit:coordinate,section:e3",
L2-CIE0580-C4,L2,cie0580,CIE 0580,Core,presale,CIE 0580 C4 Geometry (Core) Section Bundle,l2-cie0580-c4,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4,kahoot_cie0580_l2,geometry,U4,Geometry,geometry-c4,C4,Geometry (Core),,,,7,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4,https://payhip.com/25maths?src=cie0580-unit-geometry,Presale placeholder + section entitlement + release updates.,7 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,core,unit:geometry,section:c4",
L2-CIE0580-E4,L2,cie0580,CIE 0580,Extended,presale,CIE 0580 E4 Geometry (Extended) Section Bundle,l2-cie0580-e4,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e4,kahoot_cie0580_l2,geometry,U4,Geometry,geometry-e4,E4,Geometry (Extended),,,,8,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e4,https://payhip.com/25maths?src=cie0580-unit-geometry,Presale placeholder + section entitlement + release updates.,8 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,extended,unit:geometry,section:e4",
L2-CIE0580-C5,L2,cie0580,CIE 0580,Core,presale,CIE 0580 C5 Mensuration (Core) Section Bundle,l2-cie0580-c5,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5,kahoot_cie0580_l2,mensuration,U5,Mensuration,mensuration-c5,C5,Mensuration (Core),,,,5,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5,https://payhip.com/25maths?src=cie0580-unit-mensuration,Presale placeholder + section entitlement + release updates.,5 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,core,unit:mensuration,section:c5",
L2-CIE0580-E5,L2,cie0580,CIE 0580,Extended,presale,CIE 0580 E5 Mensuration (Extended) Section Bundle,l2-cie0580-e5,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e5,kahoot_cie0580_l2,mensuration,U5,Mensuration,mensuration-e5,E5,Mensuration (Extended),,,,5,1,,,,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e5,https://payhip.com/25maths?src=cie0580-unit-mensuration,Presale placeholder + section entitlement + release updates.,5 SubTopic worksheets + answers + section practice progression.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l2,cie0580,extended,unit:mensuration,section:e5",
