track,folder,section_code,listing_file,payhip_url
foundation,l1-edx4ma1-f1-01,F1.1,F1.1-Listing.md,https://payhip.com/b/JDImL
foundation,l1-edx4ma1-f1-02,F1.2,F1.2-Listing.md,https://payhip.com/b/6zLpq
foundation,l1-edx4ma1-f1-03,F1.3,F1.3-Listing.md,https://payhip.com/b/4oGAl
foundation,l1-edx4ma1-f1-04,F1.4,F1.4-Listing.md,https://payhip.com/b/491C6
foundation,l1-edx4ma1-f1-05,F1.5,F1.5-Listing.md,https://payhip.com/b/3IDxP
foundation,l1-edx4ma1-f1-06,F1.6,F1.6-Listing.md,https://payhip.com/b/7pWH4
foundation,l1-edx4ma1-f1-07,F1.7,F1.7-Listing.md,https://payhip.com/b/eMO8z
foundation,l1-edx4ma1-f1-08,F1.8,F1.8-Listing.md,https://payhip.com/b/6Tzqj
foundation,l1-edx4ma1-f1-09,F1.9,F1.9-Listing.md,https://payhip.com/b/cx6qR
foundation,l1-edx4ma1-f1-10,F1.10,F1.10-Listing.md,https://payhip.com/b/34RQJ
foundation,l1-edx4ma1-f1-11,F1.11,F1.11-Listing.md,https://payhip.com/b/I9F4l
foundation,l1-edx4ma1-f2-01,F2.1,F2.1-Listing.md,https://payhip.com/b/u4Vk8
foundation,l1-edx4ma1-f2-02,F2.2,F2.2-Listing.md,https://payhip.com/b/A2ZD9
foundation,l1-edx4ma1-f2-03,F2.3,F2.3-Listing.md,https://payhip.com/b/usy7o
foundation,l1-edx4ma1-f2-04,F2.4,F2.4-Listing.md,https://payhip.com/b/T9Zg4
foundation,l1-edx4ma1-f2-05,F2.5,F2.5-Listing.md,https://payhip.com/b/Edea8
foundation,l1-edx4ma1-f2-06,F2.6,F2.6-Listing.md,https://payhip.com/b/XHY12
foundation,l1-edx4ma1-f2-07,F2.7,F2.7-Listing.md,https://payhip.com/b/ikXRz
foundation,l1-edx4ma1-f2-08,F2.8,F2.8-Listing.md,https://payhip.com/b/sQC1D
foundation,l1-edx4ma1-f3-01,F3.1,F3.1-Listing.md,https://payhip.com/b/0fyu5
foundation,l1-edx4ma1-f3-02,F3.2,F3.2-Listing.md,https://payhip.com/b/pJe7b
foundation,l1-edx4ma1-f3-03,F3.3,F3.3-Listing.md,https://payhip.com/b/Yiw2M
foundation,l1-edx4ma1-f3-04,F3.4,F3.4-Listing.md,https://payhip.com/b/JUHhV
foundation,l1-edx4ma1-f4-01,F4.1,F4.1-Listing.md,https://payhip.com/b/8g4aS
foundation,l1-edx4ma1-f4-02,F4.2,F4.2-Listing.md,https://payhip.com/b/AoDzh
foundation,l1-edx4ma1-f4-03,F4.3,F4.3-Listing.md,https://payhip.com/b/NhPya
foundation,l1-edx4ma1-f4-04,F4.4,F4.4-Listing.md,https://payhip.com/b/rYKsQ
